name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Noisy le Sec - Jean-Baptiste Clément,31708,0,0,"[48.87451538963655, 2.415283620357514]",2023-05-02T13:05:57+00:00,0,21,22,OUI,OUI,Bagnolet,OUI,2023-05-02T13:33:00.428Z
Marcelle - Thalie,35020,2,0,"[48.8835462, 2.4137883]",2023-05-02T13:05:03+00:00,2,16,20,OUI,OUI,Pantin,OUI,2023-05-02T13:33:00.428Z
Cujas - Saint-Michel,5106,7,7,"[48.848191348584, 2.341831654854]",2023-05-02T13:06:18+00:00,14,2,19,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Henri Ste-Claire Déville - Paul Héroult,25003,7,9,"[48.892663, 2.172411]",2023-05-02T13:04:17+00:00,16,7,24,OUI,OUI,Rueil-Malmaison,OUI,2023-05-02T13:33:00.428Z
Paris - Emile Zola,31003,1,0,"[48.854898095789295, 2.4186685681343083]",2023-05-02T13:05:01+00:00,1,29,30,OUI,OUI,Montreuil,OUI,2023-05-02T13:33:00.428Z
Jean Jaurès - Salvador Allende,22402,5,2,"[48.821475594736775, 2.3026576638221745]",2023-05-02T13:06:43+00:00,7,36,43,OUI,OUI,Malakoff,OUI,2023-05-02T13:33:00.428Z
Victoire - Chaussée d'Antin,9116,3,18,"[48.875065791004396, 2.3316738009452824]",2023-05-02T13:06:29+00:00,21,2,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Richard Lenoir - Jean-Pierre Timbaud,11039,2,17,"[48.86580427668637, 2.369337074966926]",2023-05-02T13:07:08+00:00,19,14,36,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Legendre - Dulong,17013,1,1,"[48.885325169402904, 2.316423766314984]",2023-05-02T13:05:36+00:00,2,21,23,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Galilée - Kléber,16008,23,6,"[48.86741186571367, 2.290781380114821]",2023-05-02T13:06:22+00:00,29,2,32,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Chemin Vert - Saint-Maur,11026,2,1,"[48.86112461407359, 2.381299026310444]",2023-05-02T13:04:53+00:00,3,41,45,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Botzaris - Parc des Buttes Chaumont,19024,2,1,"[48.877951, 2.381464]",2023-05-02T13:02:12+00:00,3,16,20,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Général De Gaulle - Alouette,41601,0,1,"[48.839109, 2.4175664]",2023-05-02T13:03:13+00:00,1,25,26,OUI,OUI,Saint-Mandé,OUI,2023-05-02T13:33:00.428Z
Estrapade - Ulm,5012,11,3,"[48.84512772828039, 2.3454568170361734]",2023-05-02T13:05:25+00:00,14,1,16,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Beffroy,22003,9,13,"[48.886591074487995, 2.261394560337067]",2023-05-02T13:04:47+00:00,22,4,26,OUI,OUI,Neuilly-sur-Seine,OUI,2023-05-02T13:33:00.428Z
Molitor - Chardon-Lagache,16038,5,1,"[48.84520880183234, 2.2656840831041336]",2023-05-02T13:04:44+00:00,6,26,34,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Abbé Carton - Plantes,14110,1,0,"[48.827673823165846, 2.320918142795563]",2023-05-02T13:06:39+00:00,1,23,25,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Théophile Gautier - François Millet,16136,1,20,"[48.85034821320644, 2.273029983043671]",2023-05-02T13:05:30+00:00,21,8,30,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Larmeroux - Baudelaire,21701,0,1,"[48.816939911292, 2.2809894804846]",2023-05-02T13:01:12+00:00,1,28,29,OUI,OUI,Vanves,OUI,2023-05-02T13:33:00.428Z
Parmentier - République,11105,2,0,"[48.8644954, 2.3750124]",2023-05-02T13:07:02+00:00,2,47,50,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Charles de Gaulle - Sablonville,22016,14,8,"[48.87991924860035, 2.2763770446181297]",2023-05-02T13:05:08+00:00,22,4,26,OUI,OUI,Neuilly-sur-Seine,OUI,2023-05-02T13:33:00.428Z
Auguste Cain - Jean Moulin,14136,3,0,"[48.82577028927573, 2.3210415244102482]",2023-05-02T13:02:37+00:00,3,36,40,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Miromesnil - La Boétie,8025,15,16,"[48.87372241291653, 2.315848097205162]",2023-05-02T13:05:39+00:00,31,2,35,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Chemin Vert - Fraternité,32302,0,0,"[48.877141208359035, 2.4461565166711807]",2023-05-02T12:58:21+00:00,0,20,20,OUI,OUI,Romainville,OUI,2023-05-02T13:33:00.428Z
